Rate Plan	Pws cost	New Cost
DEACON015070 :: VZWPublic :: (732) :: 20 GB	96	48.65
Inrix ATT 50MB	3.5	
Inrix VF 100MB	17.24	
John Bollier (marathon) :: VZWPublic :: 20 GB	96	48.65
Quidel ATT 5MB	3.05	
Clear-Com::VZWPublic::20GB	96	48.65
Menna Development (Marathon) VZW Public20GB	96	48.65
Quidel SRW 250MB Demo	75	
Quidel VDF Demo WC1	125	
Jim Lincoln (Marathon) :: VZW Public Static :: 20GB	96	48.65
CaptiveAire SWI 100MB Passive	8.2	
Michael Cronin (Marathon) VZW 20GB :: Public Static ::	96	48.65
CaptiveAire_ATT_Demo	8	
Conductive Tech SWI Demo	0.28	
InDesign SWI Demo	0.28	
Towerview SWI Demo	0.28	
KC Williams (Marathon) VZW Public Static 20GB	96	48.65
DMG-Cedar-Sinai VZWPublicStatic 20GB :: 08b2b1df-d1c4-4a19-ae46-7afe287a5168	96	48.65
Milo Kirk (Marathon) VZW 20GB :: Public Static ::	96	48.65
Postmates TMO Demo :: 17610d6f-1380-4b69-a4ba-82a268446108	7	
ANICO (Colliers) VZWPublicStatic 20GB	96	48.65
MeasureTek TMO 250MB	3	
Martin Morehead (Marathon) 20GB :: Public Static ::	96	48.65
Mike Cosentino (Marathon)-VZW-PUBS-20GB	96	48.65
Edwin Calhoun (Marathon) VZW :: Public Static :: 20GB	96	48.65
Kodiak VZW Private 20GB	96	48.65
VSBLTY ATT 1GB	8	
VSBLTY ATT 10GB	50	
Kreig & Ashley Allen (Marathon) VZW :: Public Static :: 20GB	96	48.65
Benchmark SWI 10MB	1	
Improve Group VZW DIA 20GB	96	48.65
Amaral Ranches VZW :: Public Static :: 20GB	96	48.65
Lite Construction VZW Public Dynamic 20GB	96	48.65
Fazoli VZW DIA 20GB	96	48.65
Fazoli VZW :: Public Dynamic :: 20GB	96	48.65
Swift VDF 1GB Demo	12	
Cubic VF 1GB	550	
Riivet-VZW-PUBD-20GB	96	48.65
Waterbit ATT 100MB	4	
Waterbit ATT 1MB (N)	2.99	
Waterbit ATT 1MB (N2)	2.99	
Okta-VZW-PUBD-20GB	96	48.65
Waterbit ATT 1GB	8	
Country Agency-VZW-PUBD-20GB	96	48.65
Mike Bae ATT Test	0	
Mike Bae TMO Test (KORE)	0.5	
