timestamp,deletions,insertions,reads,updates
1596278106,882516938,927797152,8231454441,6419692750
1596278107,882516938,927797170,8231454880,6419693189
1596278108,882516938,927797183,8231455329,6419693638
1596278109,882516938,927797192,8231455759,6419694068
1596278110,882516938,927797210,8231456027,6419694336
1596278111,882516938,927797223,8231456269,6419694578
1596278112,882516938,927797241,8231456541,6419694850
1596278113,882516938,927797256,8231456790,6419695099
1596278114,882516938,927797264,8231457030,6419695339
1596278115,882516938,927797272,8231457259,6419695568
1596278116,882516938,927797284,8231457505,6419695814
1596278117,882516938,927797301,8231457750,6419696059
1596278118,882516938,927797308,8231457991,6419696300
1596278119,882516938,927797311,8231458176,6419696485
1596278120,882516938,927797320,8231458216,6419696525
1596278121,882516938,927797332,8231458245,6419696554
1596278122,882516938,927797346,8231458366,6419696675
1596278123,882516938,927797365,8231458612,6419696921
1596278124,882516938,927797380,8231458852,6419697161
1596278125,882516938,927797401,8231459108,6419697417
1596278126,882516938,927797409,8231459344,6419697653
1596278127,882516938,927797422,8231459598,6419697907
1596278128,882516938,927797432,8231459834,6419698143
1596278129,882516938,927797438,8231460067,6419698376
1596278130,882516938,927797447,8231460303,6419698612
1596278131,882516938,927797458,8231460543,6419698852
1596278132,882516938,927797461,8231460779,6419699088
1596278133,882516938,927797488,8231461231,6419699540
1596278134,882516938,927797500,8231461684,6419699993
1596278135,882516938,927797505,8231462118,6419700427
1596278136,882516938,927797508,8231462555,6419700864
1596278137,882516938,927797519,8231463027,6419701336
1596278138,882516938,927797531,8231463491,6419701800
1596278139,882516938,927797551,8231463957,6419702266
1596278140,882516938,927797557,8231464387,6419702696
1596278141,882516938,927797563,8231464830,6419703139
1596278142,882516938,927797572,8231465119,6419703428
1596278143,882516938,927797586,8231465359,6419703668
1596278144,882516938,927797599,8231465609,6419703918
1596278145,882516938,927797612,8231465867,6419704176
1596278146,882516938,927797624,8231466114,6419704423
1596278147,882516938,927797632,8231466363,6419704672
1596278148,882516938,927797640,8231466609,6419704918
1596278149,882516938,927797643,8231466850,6419705159
1596278150,882516938,927797661,8231467087,6419705396
1596278151,882516938,927797672,8231467326,6419705635
1596278152,882516938,927797684,8231467470,6419705779
1596278153,882516938,927797710,8231467718,6419706027
1596278154,882516938,927797717,8231467968,6419706277
1596278155,882516938,927797727,8231468208,6419706517
1596278156,882516938,927797733,8231468454,6419706763
1596278157,882516938,927797744,8231468714,6419707023
1596278158,882516938,927797752,8231468957,6419707266
1596278159,882516938,927797758,8231469198,6419707507
1596278160,882516938,927797770,8231469427,6419707736
1596278161,882516938,927797784,8231469654,6419707963
1596278162,882516938,927797787,8231469882,6419708191
1596278163,882516938,927797812,8231470130,6419708439
1596278164,882516938,927797827,8231470430,6419708739
1596278165,882516938,927797845,8231470880,6419709189
1596278166,882516938,927798085,8231471312,6419709621
1596278167,882516938,927798112,8231471752,6419710061
1596278168,882516938,927798125,8231472172,6419710481
1596278169,882516938,927798142,8231472594,6419710903
1596278170,882516938,927798147,8231473038,6419711347
1596278171,882516938,927798388,8231473423,6419711732
1596278172,882516938,927798404,8231473887,6419712196
1596278173,882516938,927798437,8231474148,6419712456
1596278174,882516938,927798448,8231474384,6419712693
1596278175,882516938,927798457,8231474635,6419712944
1596278176,882516938,927798486,8231474880,6419713189
1596278177,882516938,927798492,8231475128,6419713437
1596278178,882516938,927798702,8231475373,6419713682
1596278179,882516938,927798720,8231475627,6419713936
1596278180,882516938,927798728,8231475880,6419714189
1596278181,882516938,927798763,8231476124,6419714433
1596278182,882516938,927798787,8231476370,6419714679
1596278183,882516938,927798997,8231476599,6419714908
1596278184,882516938,927799006,8231476858,6419715167
1596278185,882516938,927799011,8231477111,6419715420
1596278186,882516938,927799047,8231477361,6419715670
1596278187,882516938,927799054,8231477605,6419715914
1596278188,882516938,927799099,8231477856,6419716165
1596278189,882516938,927799273,8231478083,6419716392
1596278190,882516938,927799285,8231478326,6419716635
1596278191,882516938,927799296,8231478572,6419716881
1596278192,882516938,927799305,8231478805,6419717114
1596278193,882516938,927799310,8231479020,6419717329
1596278194,882516938,927799324,8231479255,6419717564
1596278195,882516938,927799330,8231479488,6419717797
1596278196,882516938,927799343,8231479712,6419718021
1596278197,882516938,927799357,8231480063,6419718372
1596278198,882516938,927799370,8231480524,6419718833
1596278199,882516938,927799381,8231480971,6419719280
1596278200,882516938,927799391,8231481407,6419719716
1596278201,882516938,927799411,8231481851,6419720160
1596278202,882516938,927799429,8231482292,6419720601
1596278203,882516938,927799452,8231482730,6419721039
1596278204,882516938,927799458,8231482974,6419721283
1596278205,882516938,927799473,8231483225,6419721534
1596278206,882516938,927799478,8231483467,6419721776
1596278207,882516938,927799485,8231483713,6419722022
1596278208,882516938,927799501,8231483961,6419722270
1596278209,882516938,927799517,8231484204,6419722513
1596278210,882516938,927799526,8231484444,6419722753
1596278211,882516938,927799537,8231484696,6419723005
1596278212,882516938,927799551,8231484944,6419723253
1596278213,882516938,927799562,8231485189,6419723498
1596278214,882516938,927799587,8231485435,6419723744
1596278215,882516938,927799594,8231485860,6419724169
1596278216,882516938,927799604,8231486227,6419724536
1596278217,882516938,927799615,8231486477,6419724786
1596278218,882516938,927799635,8231486733,6419725042
1596278219,882516938,927799648,8231486974,6419725283
1596278220,882516938,927799657,8231487215,6419725524
1596278221,882516938,927799660,8231487448,6419725757
1596278222,882516938,927799670,8231487682,6419725991
1596278223,882516938,927799682,8231487936,6419726245
1596278224,882516938,927799695,8231488185,6419726494
1596278225,882516938,927799702,8231488414,6419726723
1596278226,882516938,927799719,8231488652,6419726961
1596278227,882516938,927799749,8231488883,6419727192
1596278229,882516938,927799756,8231489109,6419727418
1596278230,882516938,927799780,8231489351,6419727660
1596278231,882516938,927799797,8231489642,6419727951
1596278232,882516938,927799804,8231490101,6419728410
1596278233,882516938,927799819,8231490546,6419728855
1596278234,882516938,927799845,8231491010,6419729319
1596278235,882516938,927799861,8231491444,6419729753
1596278236,882516938,927799879,8231491696,6419730005
1596278237,882516938,927799889,8231491945,6419730254
1596278238,882516938,927800334,8231492184,6419730493
1596278239,882516938,927801199,8231492408,6419730717
1596278240,882516938,927801974,8231492635,6419730944
1596278241,882516938,927802766,8231492848,6419731157
1596278242,882516938,927803526,8231493009,6419731318
1596278243,882516938,927804348,8231493184,6419731493
1596278244,882516938,927805359,8231493355,6419731664
1596278245,882516938,927806387,8231493535,6419731844
1596278246,882516938,927807404,8231493678,6419731987
1596278247,882516938,927808433,8231493832,6419732141
1596278248,882516938,927809476,8231493998,6419732307
1596278249,882516938,927810395,8231494289,6419732598
1596278250,882516938,927811260,8231494639,6419732948
1596278251,882516938,927812224,8231494877,6419733186
1596278252,882516938,927813122,8231495252,6419733561
1596278253,882516938,927814087,8231495503,6419733812
1596278254,882516938,927815034,8231495766,6419734075
1596278255,882516938,927816003,8231496061,6419734370
1596278256,882516938,927816995,8231496367,6419734676
1596278257,882516938,927817354,8231496898,6419735207
1596278258,882516938,927817412,8231497150,6419735459
1596278259,882516938,927817429,8231497376,6419735685
1596278260,882516938,927817462,8231497619,6419735928
1596278261,882516938,927817481,8231497864,6419736173
1596278262,882516938,927817509,8231498105,6419736414
1596278263,882516938,927817538,8231498365,6419736674
1596278264,882516938,927817554,8231498605,6419736914
1596278265,882516938,927817580,8231498853,6419737162
1596278266,882516938,927817601,8231499093,6419737402
1596278267,882516938,927817618,8231499329,6419737638
1596278268,882516938,927817633,8231499574,6419737883
1596278269,882516938,927817650,8231499803,6419738112
1596278270,882516938,927817667,8231500127,6419738436
1596278271,882516938,927817688,8231500458,6419738767
1596278272,882516938,927817705,8231500712,6419739021
1596278273,882516938,927817728,8231500969,6419739278
1596278274,882516938,927817752,8231501214,6419739523
1596278275,882516938,927817772,8231501470,6419739779
1596278276,882516938,927817794,8231501716,6419740025
1596278277,882516938,927817803,8231501957,6419740266
1596278278,882516938,927817817,8231502198,6419740507
1596278279,882516938,927817824,8231502446,6419740755
1596278280,882516938,927817829,8231502684,6419740993
1596278281,882516938,927817844,8231502933,6419741242
1596278282,882516938,927817844,8231503234,6419741543
1596278283,882516938,927817844,8231503667,6419741976
1596278284,882516938,927817859,8231504127,6419742436
1596278285,882516938,927817862,8231504553,6419742862
1596278286,882516938,927817867,8231504964,6419743273
1596278287,882516938,927817878,8231505377,6419743686
1596278288,882516938,927817885,8231505769,6419744078
1596278289,882516938,927817889,8231506166,6419744475
1596278290,882516938,927817893,8231506432,6419744741
1596278291,882516938,927817905,8231506671,6419744980
1596278292,882516938,927817913,8231506950,6419745259
1596278293,882516938,927817928,8231507197,6419745506
1596278294,882516938,927817942,8231507441,6419745750
1596278295,882516938,927817950,8231507675,6419745984
1596278296,882516938,927817958,8231507925,6419746234
1596278297,882516938,927817964,8231508172,6419746481
1596278298,882516938,927817971,8231508407,6419746716
1596278299,882516938,927817982,8231508633,6419746942
1596278300,882516938,927817988,8231508854,6419747163
1596278301,882516938,927817993,8231509261,6419747570
1596278302,882516938,927818004,8231509743,6419748052
1596278303,882516938,927818024,8231510210,6419748519
1596278304,882516938,927818032,8231510648,6419748957
1596278305,882516938,927818035,8231511091,6419749400
1596278306,882516938,927818042,8231511538,6419749847
1596278307,882516938,927818047,8231511992,6419750301
1596278308,882516938,927818064,8231512466,6419750775
1596278309,882516938,927818070,8231512929,6419751238
1596278310,882516938,927818090,8231513399,6419751708
1596278311,882516938,927818108,8231513867,6419752176
1596278312,882516938,927818113,8231514304,6419752613
1596278313,882516938,927818123,8231514738,6419753047
1596278314,882516938,927818148,8231515247,6419753556
1596278315,882516938,927818158,8231515871,6419754180
1596278316,882516938,927818166,8231516498,6419754807
1596278317,882516938,927818181,8231517091,6419755400
1596278318,882516938,927818191,8231517601,6419755910
1596278319,882516938,927818194,8231518111,6419756420
1596278320,882516938,927818199,8231518627,6419756936
1596278321,882516938,927818208,8231519099,6419757408
1596278322,882516938,927818213,8231519545,6419757854
1596278323,882516938,927818226,8231519844,6419758153
1596278324,882516938,927818236,8231520092,6419758401
1596278325,882516938,927818250,8231520345,6419758654
1596278326,882516938,927818270,8231520587,6419758896
1596278327,882516938,927818277,8231520836,6419759145
1596278328,882516938,927818287,8231521089,6419759398
1596278329,882516938,927818299,8231521321,6419759630
1596278330,882516938,927818309,8231521546,6419759855
1596278331,882516938,927818316,8231521810,6419760119
1596278332,882516938,927818335,8231522247,6419760556
1596278333,882516938,927818348,8231522746,6419761055
1596278334,882516938,927818364,8231523372,6419761681
1596278335,882516938,927818369,8231523831,6419762140
1596278336,882516938,927818378,8231524272,6419762581
1596278337,882516938,927818385,8231524716,6419763024
1596278338,882516938,927818398,8231525163,6419763472
1596278339,882516938,927818407,8231525591,6419763900
1596278340,882516938,927818434,8231526030,6419764339
1596278341,882516938,927818450,8231526476,6419764785
1596278342,882516938,927818467,8231526925,6419765234
1596278343,882516938,927818470,8231527378,6419765687
1596278344,882516938,927818493,8231527839,6419766148
1596278345,882516938,927818500,8231528283,6419766592
1596278346,882516938,927818511,8231528904,6419767213
1596278347,882516938,927818524,8231529421,6419767730
1596278348,882516938,927818534,8231529945,6419768254
1596278349,882516938,927818543,8231530469,6419768778
1596278350,882516938,927818551,8231531001,6419769310
1596278351,882516938,927818564,8231531513,6419769822
1596278352,882516938,927818568,8231531963,6419770272
1596278353,882516938,927818580,8231532411,6419770720
1596278354,882516938,927818595,8231532665,6419770974
1596278355,882516938,927818602,8231532898,6419771207
1596278356,882516938,927818613,8231533141,6419771450
1596278357,882516938,927818626,8231533390,6419771699
1596278358,882516938,927818639,8231533632,6419771941
1596278359,882516938,927818652,8231533875,6419772184
1596278360,882516938,927818658,8231534105,6419772414
1596278361,882516938,927818669,8231534333,6419772642
1596278362,882516938,927818679,8231534565,6419772874
1596278363,882516938,927818691,8231534923,6419773232
1596278364,882516938,927818710,8231535569,6419773878
1596278365,882516938,927818718,8231536196,6419774505
1596278366,882516938,927818734,8231536837,6419775146
1596278367,882516938,927818740,8231537323,6419775632
1596278368,882516938,927818746,8231537776,6419776085
1596278369,882516938,927818762,8231538224,6419776533
1596278370,882516938,927818778,8231538670,6419776979
1596278371,882516938,927818786,8231539126,6419777435
1596278372,882516938,927818794,8231539584,6419777893
1596278373,882516938,927818802,8231540039,6419778348
1596278374,882516938,927818825,8231540498,6419778807
1596278375,882516938,927818843,8231540965,6419779274
1596278376,882516938,927818853,8231541402,6419779711
1596278377,882516938,927818858,8231541839,6419780148
1596278378,882516938,927818863,8231542283,6419780592
1596278379,882516938,927818879,8231542802,6419781111
1596278380,882516938,927818890,8231543321,6419781630
1596278381,882516938,927818905,8231543831,6419782140
1596278382,882516938,927818911,8231544338,6419782647
1596278383,882516938,927818926,8231544854,6419783163
1596278384,882516938,927818943,8231545216,6419783525
1596278385,882516938,927818948,8231545611,6419783920
1596278386,882516938,927818952,8231545849,6419784158
1596278387,882516938,927818961,8231546094,6419784403
1596278388,882516938,927818977,8231546340,6419784649
1596278389,882516938,927818986,8231546583,6419784892
1596278390,882516938,927818998,8231546838,6419785147
1596278391,882516938,927819011,8231547089,6419785398
1596278392,882516938,927819030,8231547333,6419785642
1596278393,882516938,927819046,8231547582,6419785891
1596278394,882516938,927819060,8231547827,6419786136
1596278395,882516938,927819065,8231548261,6419786570
1596278396,882516938,927819072,8231548716,6419787025
1596278397,882516938,927819080,8231549181,6419787490
1596278398,882516938,927819093,8231549637,6419787946
1596278399,882516938,927819105,8231549970,6419788279
1596278400,882516938,927819114,8231550212,6419788521
1596278401,882516938,927819122,8231550460,6419788769
1596278402,882516938,927819125,8231550699,6419789008
