"PwsAccountNumberName","CustomerID","DateCreated","DatePosted","DateDue","Terms","BillTo","ShipTo","WebLink","FooterMemo","CustomerReference","ReferenceNumber","BillingPeriod","Element","Quantity","Rate","Amount","Memo","Class","AccountLabel"
"71905685-857963:ENGIE SERVICES U.S. INC. (Opterra)","C-0841","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Opterra Energy Services","SVCS_Opterra Energy Services","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","PO#16661","","2020-10-08","DC-CONN","1","29.00","29.0","Data Center EZ Connect (1 Unit = 1 IPSEC Tunnel)","PLAT_SVC--Platform Services","41110"
"71905685-857963:ENGIE SERVICES U.S. INC. (Opterra)","C-0841","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Opterra Energy Services","SVCS_Opterra Energy Services","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","PO#16661","","2020-10-08","LATTIGO-BIZ","1","29.00","29.0","Lattigo Management Portal - business","PLAT_SVC--Platform Services","41110"
"71905685-857963:ENGIE SERVICES U.S. INC. (Opterra)","C-0841","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Opterra Energy Services","SVCS_Opterra Energy Services","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","PO#16661","","2020-10-08","PROMO-LATTIGO","1","-29.00","-29.0","Discount - Management Portal / API","PLAT_SVC--Platform Services","41110"
"79280843-204868:ViaSat","C-1277","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_ViaSat","SVCS_ViaSat","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","PO#4162818","","2020-10-08","VDF 5 GB MRC","1.0","99.00","99.0","Private network: 2020/06/01 - 2020/06/30","VDF_1000032186_PN--Vodafone Private","41102"
"79280843-204868:ViaSat","C-1277","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_ViaSat","SVCS_ViaSat","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","PO#4162818","","2020-10-08","VDF SCHG-FEE","1","0.1881","0.1881","Private network: 2020/06/01 - 2020/06/30","VDF_1000032186_PN--Vodafone Private","41104"
"79280843-204868:ViaSat","C-1277","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_ViaSat","SVCS_ViaSat","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","PO#4162818","","2020-10-08","LATTIGO-BASE","1","0.00","0.0","Lattigo Management Portal - basic","PLAT_SVC--Platform Services","41110"
"12523676-171795:Telesense","C-1168","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Telesense","SVCS_Telesense","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 1 GB MRC","25.874","25.00","646.85","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41102"
"12523676-171795:Telesense","C-1168","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Telesense","SVCS_Telesense","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SCHG-FEE","1","72.382515","72.382515","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41104"
"12523676-171795:Telesense","C-1168","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Telesense","SVCS_Telesense","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","ACTIVATION-VZW","1","5.0","5.0","Private Network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41105"
"12523676-171795:Telesense","C-1168","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Telesense","SVCS_Telesense","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","LATTIGO-BIZ","1","29.00","29.0","Lattigo Management Portal - business","PLAT_SVC--Platform Services","41110"
"12523676-171795:Telesense","C-1168","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Telesense","SVCS_Telesense","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","PROMO-LATTIGO","1","-29.00","-29.0","Discount - Management Portal / API","PLAT_SVC--Platform Services","41110"
"25833770-223958:Citrix Systems","C-0230","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Citrix Systems","SVCS_Citrix Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","PO:4700072589","2020-10-08","VZW 10 GB MRC","7.0","80.00","560.0","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41102"
"25833770-223958:Citrix Systems","C-0230","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Citrix Systems","SVCS_Citrix Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","PO:4700072589","2020-10-08","VZW SCHG-FEE","1","62.664","62.664","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41104"
"25833770-223958:Citrix Systems","C-0230","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Citrix Systems","SVCS_Citrix Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","PO:4700072589","2020-10-08","ATT 1 GB MRC","1.0","35.70","35.7","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41102"
"25833770-223958:Citrix Systems","C-0230","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Citrix Systems","SVCS_Citrix Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","PO:4700072589","2020-10-08","ATT SCHG-FEE","1","0.06783","0.06783","Private network: 2020/06/01 - 2020/06/30","ATT_100374402_PN--ATT Private","41104"
"25833770-223958:Citrix Systems","C-0230","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Citrix Systems","SVCS_Citrix Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","PO:4700072589","2020-10-08","LATTIGO-BIZ","1","29.00","29.0","Lattigo Management Portal - business","PLAT_SVC--Platform Services","41110"
"25833770-223958:Citrix Systems","C-0230","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Citrix Systems","SVCS_Citrix Systems","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","PO:4700072589","2020-10-08","PROMO-LATTIGO","1","-29.00","-29.0","Discount - Management Portal / API","PLAT_SVC--Platform Services","41110"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW 1 GB MRC","48.995","22.00","1077.89","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41102"
"38647762-191916:AutoMotion Management","C-0107","2020-06-30","2020-10-08","2020-10-08","Due Upon Receipt","SVCS_Automotion Management, LLC","SVCS_Automotion Management, LLC","https://portal.pws.bz/","Pay your bill online at https://portal.pws.bz/payments","","","2020-10-08","VZW SMS","5","0.25","1.25","Private network: 2020/06/01 - 2020/06/30","VZW_742071985_DIA--Verizon DIA","41106"
